yil,cok_memnun,memnun,orta,memnun_degil,hic_memnun_degil,kazanci_yok
2003,3.07,17.59,39.98,24.88,14.48,2.31
2004,1.49,24.68,29.29,32.53,12.01,2.31
2005,1.62,29.08,24.44,30.45,14.41,2.31
2006,1.66,24.96,27.1,35.67,10.61,2.31
2007,1.31,33.42,22.91,33.75,8.6,2.31
2008,2.21,29.44,27.8,32.76,7.8,2.31
2009,2.16,26.22,25.73,29.45,12.07,4.37
2010,2.94,30.93,22.86,27.12,8.17,7.99
2011,2.16,30.12,26.65,28.1,8.98,3.97
2012,1.72,36.91,23.92,23.41,9.14,4.89
2013,2.6,45.71,19.41,26.07,4.88,1.33
2014,1.91,43.29,20.84,26.47,5.41,2.08
2015,3.27,41.84,22,26.85,4.61,1.43
2016,1.87,48.05,20.43,24.05,3.29,2.3
2017,3.21,46.7,19.43,25.19,3.91,1.57
2018,2.36,42.18,20.45,28.03,5.82,1.16
2019,3.39,42.18,19.84,26.43,7.06,1.09
2020,5.23,36.85,26.11,22.73,8.43,0.65
2021,2.63,36.75,22.22,30.29,7.24,0.86
2022,3.03,39.06,22.45,27.15,7.93,0.39
2023,2.1,40.42,20.1,28.65,8.14,0.59
